0,1,2,3,4,5,6,7,8,9
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpapaa',b'ABarapapaa',b'ABalpapapaa',b'ABalapapapaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpapap',b'ABarapapap',b'ABalpapapap',b'ABalapapapap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpappa',b'ABarapappa',b'ABalpapappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpappp',b'ABarapappp',b'ABalpapappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppaaa',b'ABarappaaa',b'ABalpappaaa',b'ABalapappaaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppaap',b'ABarappaap',b'ABalpappaap',b'ABalapappaap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppapa',b'ABarappapa',b'ABalpappapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppapp',b'ABarappapp',b'ABalpappapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpppaa',b'ABarapppaa',b'ABalpapppaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpppap',b'ABarapppap',b'ABalpapppap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppppa',b'ABarappppa',b'ABalpappppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppppp',b'ABarappppp',b'ABalpappppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraaaaa',b'ABarpaaaaa',b'ABalppaaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraaaap',b'ABarpaaaap',b'ABalppaaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraaapa',b'ABarpaaapa',b'ABalppaaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraaapp',b'ABarpaaapp',b'ABalppaaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraapaa',b'ABarpaapaa',b'ABalppaapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraapap',b'ABarpaapap',b'ABalppaapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraappa',b'ABarpaappa',b'ABalppaappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraappp',b'ABarpaappp',b'ABalppaappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapaaa',b'ABarpapaaa',b'ABalppapaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapaap',b'ABarpapaap',b'ABalppapaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapapa',b'ABarpapapa',b'ABalppapapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapapp',b'ABarpapapp',b'ABalppapapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprappaa',b'ABarpappaa',b'ABalppappaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprappap',b'ABarpappap',b'ABalppappap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapppa',b'ABarpapppa',b'ABalppapppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapppp',b'ABarpapppp',b'ABalppapppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpaaaa',b'ABarppaaaa',b'ABalpppaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpaaap',b'ABarppaaap',b'ABalpppaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpaapa',b'ABarppaapa',b'ABalpppaapd',b'ABalapppaapa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpaapp',b'ABarppaapp',b'ABalpppaapv',b'ABalapppaapp'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpapaa',b'ABarppapaa',b'ABalpppapad',b'ABalapppapaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpapap',b'ABarppapap',b'ABalpppapav',b'ABalapppapap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpappa',b'ABarppappa',b'ABalpppappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpappp',b'ABarppappp',b'ABalpppappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppaaa',b'ABarpppaaa',b'ABalppppaad',b'ABalappppaaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppaap',b'ABarpppaap',b'ABalppppaav',b'ABalappppaap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppapa',b'ABarpppapa',b'ABalppppapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppapp',b'ABarpppapp',b'ABalppppapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpppaa',b'ABarppppaa',b'ABalpppppaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpppap',b'ABarppppap',b'ABalpppppap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppppa',b'ABarpppppa',b'ABalppppppa',b'ABalappppppa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppppp',b'ABarpppppp',b'ABalppppppp',b'ABalappppppp'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaaaaa',b'ABaraaaaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaaaap',b'ABaraaaaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaaapa',b'ABaraaaaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaaapp',b'ABaraaaaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaapaa',b'ABaraaaapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaapap',b'ABaraaaapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaappa',b'ABaraaaappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaappp',b'ABaraaaappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapaaa',b'ABaraaapaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapaap',b'ABaraaapaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapapa',b'ABaraaapapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapapp',b'ABaraaapapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaappaa',b'ABaraaappaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaappap',b'ABaraaappap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapppa',b'ABaraaapppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaapppp',b'ABaraaapppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapaaaa',b'ABaraapaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapaaap',b'ABaraapaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapaapa',b'ABaraapaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapaapp',b'ABaraapaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapapaa',b'ABaraapapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapapap',b'ABaraapapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapappa',b'ABaraapappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapappp',b'ABaraapappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappaaa',b'ABaraappaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappaap',b'ABaraappaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappapa',b'ABaraappapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappapp',b'ABaraappapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapppaa',b'ABaraapppaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplapppap',b'ABaraapppap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappppa',b'ABaraappppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplappppp',b'ABaraappppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaaaaa',b'ABarapaaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaaaap',b'ABarapaaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaaapa',b'ABarapaaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaaapp',b'ABarapaaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaapaa',b'ABarapaapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaapap',b'ABarapaapap',b'0.0'
